from_id,to_id,from,to,jobs,distance
1,5,Oost-Groningen (CR),Zuidwest-Friesland (CR),0.1,107
1,11,Oost-Groningen (CR),Zuidwest-Overijssel (CR),0.1,113.6
1,14,Oost-Groningen (CR),Achterhoek (CR),0.1,138.1
1,15,Oost-Groningen (CR),Arnhem/Nijmegen (CR),0.1,164.9
1,18,Oost-Groningen (CR),Kop van Noord-Holland (CR),0.1,180.4
1,25,Oost-Groningen (CR),Agglomeratie Leiden en Bollenstreek (CR),0.1,226.4
1,28,Oost-Groningen (CR),Oost-Zuid-Holland (CR),0.1,223.3
1,30,Oost-Groningen (CR),Zuidoost-Zuid-Holland (CR),0.1,234.4
1,33,Oost-Groningen (CR),West-Noord-Brabant (CR),0.1,259.3
1,34,Oost-Groningen (CR),Midden-Noord-Brabant (CR),0.1,244.1
1,35,Oost-Groningen (CR),Noordoost-Noord-Brabant (CR),0.1,213.4
1,36,Oost-Groningen (CR),Zuidoost-Noord-Brabant (CR),0.1,238.9
1,39,Oost-Groningen (CR),Zuid-Limburg (CR),0.1,287.8
2,4,Delfzijl en omgeving (CR),Noord-Friesland (CR),0.1,78.9
2,6,Delfzijl en omgeving (CR),Zuidoost-Friesland (CR),0.1,68
2,11,Delfzijl en omgeving (CR),Zuidwest-Overijssel (CR),0.1,142.8
2,12,Delfzijl en omgeving (CR),Twente (CR),0.1,140.4
2,14,Delfzijl en omgeving (CR),Achterhoek (CR),0.1,158.3
2,17,Delfzijl en omgeving (CR),Utrecht (CR),0.1,203.3
2,23,Delfzijl en omgeving (CR),Groot-Amsterdam (CR),0.1,204.5
2,30,Delfzijl en omgeving (CR),Zuidoost-Zuid-Holland (CR),0.1,252.1
2,36,Delfzijl en omgeving (CR),Zuidoost-Noord-Brabant (CR),0.1,259.2
3,16,Overig Groningen (CR),Zuidwest-Gelderland (CR),0.1,199.6
3,19,Overig Groningen (CR),Alkmaar en omgeving (CR),0.1,162.4
3,20,Overig Groningen (CR),IJmond (CR),0.1,181.1
3,21,Overig Groningen (CR),Agglomeratie Haarlem (CR),0.1,192.4
3,27,Overig Groningen (CR),Delft en Westland (CR),0.1,233.1
3,28,Overig Groningen (CR),Oost-Zuid-Holland (CR),0.1,209.1
3,39,Overig Groningen (CR),Zuid-Limburg (CR),0.1,298.9
4,16,Noord-Friesland (CR),Zuidwest-Gelderland (CR),0.1,185.3
4,21,Noord-Friesland (CR),Agglomeratie Haarlem (CR),0.1,140.8
4,22,Noord-Friesland (CR),Zaanstreek (CR),0.1,126.5
4,25,Noord-Friesland (CR),Agglomeratie Leiden en Bollenstreek (CR),0.1,170.6
4,27,Noord-Friesland (CR),Delft en Westland (CR),0.1,195.1
4,28,Noord-Friesland (CR),Oost-Zuid-Holland (CR),0.1,183.3
4,39,Noord-Friesland (CR),Zuid-Limburg (CR),0.1,293
5,1,Zuidwest-Friesland (CR),Oost-Groningen (CR),0.1,105.9
5,2,Zuidwest-Friesland (CR),Delfzijl en omgeving (CR),0.1,105
5,19,Zuidwest-Friesland (CR),Alkmaar en omgeving (CR),0.1,87.6
5,20,Zuidwest-Friesland (CR),IJmond (CR),0.1,111.8
5,25,Zuidwest-Friesland (CR),Agglomeratie Leiden en Bollenstreek (CR),0.1,147.8
5,26,Zuidwest-Friesland (CR),Agglomeratie 's-Gravenhage (CR),0.1,164.1
5,28,Zuidwest-Friesland (CR),Oost-Zuid-Holland (CR),0.1,155.9
5,30,Zuidwest-Friesland (CR),Zuidoost-Zuid-Holland (CR),0.1,173.4
5,35,Zuidwest-Friesland (CR),Noordoost-Noord-Brabant (CR),0.1,176.7
5,39,Zuidwest-Friesland (CR),Zuid-Limburg (CR),0.1,266.9
6,2,Zuidoost-Friesland (CR),Delfzijl en omgeving (CR),0.1,71.5
6,14,Zuidoost-Friesland (CR),Achterhoek (CR),0.1,125.2
6,16,Zuidoost-Friesland (CR),Zuidwest-Gelderland (CR),0.1,164.8
6,19,Zuidoost-Friesland (CR),Alkmaar en omgeving (CR),0.1,125.9
6,20,Zuidoost-Friesland (CR),IJmond (CR),0.1,145.2
6,25,Zuidoost-Friesland (CR),Agglomeratie Leiden en Bollenstreek (CR),0.1,163.1
6,26,Zuidoost-Friesland (CR),Agglomeratie 's-Gravenhage (CR),0.1,181.1
6,28,Zuidoost-Friesland (CR),Oost-Zuid-Holland (CR),0.1,169.6
6,30,Zuidoost-Friesland (CR),Zuidoost-Zuid-Holland (CR),0.1,188.8
6,35,Zuidoost-Friesland (CR),Noordoost-Noord-Brabant (CR),0.1,182.1
7,14,Noord-Drenthe (CR),Achterhoek (CR),0.1,124.6
