"Regio's";"Codes en namen van gemeenten/Code (code)";"Codes en namen van gemeenten/Naam (naam)";"Codes en namen van gemeenten/Sortering naam (naam)"
"Aa en Hunze";"GM1680    ";"Aa en Hunze                                       ";"Aa en Hunze                                       "
"Aalburg";"GM0738    ";"Aalburg                                           ";"Aalburg                                           "
"Aalsmeer";"GM0358    ";"Aalsmeer                                          ";"Aalsmeer                                          "
"Aalten";"GM0197    ";"Aalten                                            ";"Aalten                                            "
"Achtkarspelen";"GM0059    ";"Achtkarspelen                                     ";"Achtkarspelen                                     "
"Alblasserdam";"GM0482    ";"Alblasserdam                                      ";"Alblasserdam                                      "
"Albrandswaard";"GM0613    ";"Albrandswaard                                     ";"Albrandswaard                                     "
"Alkmaar";"GM0361    ";"Alkmaar                                           ";"Alkmaar                                           "
"Almelo";"GM0141    ";"Almelo                                            ";"Almelo                                            "
"Almere";"GM0034    ";"Almere                                            ";"Almere                                            "
"Alphen aan den Rijn";"GM0484    ";"Alphen aan den Rijn                               ";"Alphen aan den Rijn                               "
"Alphen-Chaam";"GM1723    ";"Alphen-Chaam                                      ";"Alphen+Chaam                                      "
"Ameland";"GM0060    ";"Ameland                                           ";"Ameland                                           "
"Amersfoort";"GM0307    ";"Amersfoort                                        ";"Amersfoort                                        "
"Amstelveen";"GM0362    ";"Amstelveen                                        ";"Amstelveen                                        "
"Amsterdam";"GM0363    ";"Amsterdam                                         ";"Amsterdam                                         "
"Apeldoorn";"GM0200    ";"Apeldoorn                                         ";"Apeldoorn                                         "
"Appingedam";"GM0003    ";"Appingedam                                        ";"Appingedam                                        "
"Arnhem";"GM0202    ";"Arnhem                                            ";"Arnhem                                            "
"Assen";"GM0106    ";"Assen                                             ";"Assen                                             "
"Asten";"GM0743    ";"Asten                                             ";"Asten                                             "
"Baarle-Nassau";"GM0744    ";"Baarle-Nassau                                     ";"Baarle+Nassau                                     "
"Baarn";"GM0308    ";"Baarn                                             ";"Baarn                                             "
"Barendrecht";"GM0489    ";"Barendrecht                                       ";"Barendrecht                                       "
"Barneveld";"GM0203    ";"Barneveld                                         ";"Barneveld                                         "
"Bedum";"GM0005    ";"Bedum                                             ";"Bedum                                             "
"Beek (L.)";"GM0888    ";"Beek                                              ";"Beek                                              "
"Beemster";"GM0370    ";"Beemster                                          ";"Beemster                                          "
"Beesel";"GM0889    ";"Beesel                                            ";"Beesel                                            "
"Berg en Dal";"GM1945    ";"Berg en Dal                                       ";"Berg en Dal                                       "
"Bergeijk";"GM1724    ";"Bergeijk                                          ";"Bergeijk                                          "
"Bergen (L.)";"GM0893    ";"Bergen (L.)                                       ";"Bergen (L.)                                       "
"Bergen (NH.)";"GM0373    ";"Bergen (NH.)                                      ";"Bergen (NH.)                                      "
"Bergen op Zoom";"GM0748    ";"Bergen op Zoom                                    ";"Bergen op Zoom                                    "
"Berkelland";"GM1859    ";"Berkelland                                        ";"Berkelland                                        "
"Bernheze";"GM1721    ";"Bernheze                                          ";"Bernheze                                          "
"Best";"GM0753    ";"Best                                              ";"Best                                              "
"Beuningen";"GM0209    ";"Beuningen                                         ";"Beuningen                                         "
"Beverwijk";"GM0375    ";"Beverwijk                                         ";"Beverwijk                                         "
"De Bilt";"GM0310    ";"De Bilt                                           ";"Bilt De                                           "
"Binnenmaas";"GM0585    ";"Binnenmaas                                        ";"Binnenmaas                                        "
"Bladel";"GM1728    ";"Bladel                                            ";"Bladel                                            "
"Blaricum";"GM0376    ";"Blaricum                                          ";"Blaricum                                          "
"Bloemendaal";"GM0377    ";"Bloemendaal                                       ";"Bloemendaal                                       "
"Bodegraven-Reeuwijk";"GM1901    ";"Bodegraven-Reeuwijk                               ";"Bodegraven+Reeuwijk                               "
"Boekel";"GM0755    ";"Boekel                                            ";"Boekel                                            "
"Ten Boer";"GM0009    ";"Ten Boer                                          ";"Boer Ten                                          "
"Borger-Odoorn";"GM1681    ";"Borger-Odoorn                                     ";"Borger+Odoorn                                     "
"Borne";"GM0147    ";"Borne                                             ";"Borne                                             "
"Borsele";"GM0654    ";"Borsele                                           ";"Borsele                                           "
"Boxmeer";"GM0756    ";"Boxmeer                                           ";"Boxmeer                                           "
"Boxtel";"GM0757    ";"Boxtel                                            ";"Boxtel                                            "
"Breda";"GM0758    ";"Breda                                             ";"Breda                                             "
"Brielle";"GM0501    ";"Brielle                                           ";"Brielle                                           "
"Bronckhorst";"GM1876    ";"Bronckhorst                                       ";"Bronckhorst                                       "
"Brummen";"GM0213    ";"Brummen                                           ";"Brummen                                           "
"Brunssum";"GM0899    ";"Brunssum                                          ";"Brunssum                                          "
"Bunnik";"GM0312    ";"Bunnik                                            ";"Bunnik                                            "
"Bunschoten";"GM0313    ";"Bunschoten                                        ";"Bunschoten                                        "
"Buren";"GM0214    ";"Buren                                             ";"Buren                                             "
"Capelle aan den IJssel";"GM0502    ";"Capelle aan den IJssel                            ";"Capelle aan den IJssel                            "
"Castricum";"GM0383    ";"Castricum                                         ";"Castricum                                         "
"Coevorden";"GM0109    ";"Coevorden                                         ";"Coevorden                                         "
"Cranendonck";"GM1706    ";"Cranendonck                                       ";"Cranendonck                                       "
"Cromstrijen";"GM0611    ";"Cromstrijen                                       ";"Cromstrijen                                       "
"Cuijk";"GM1684    ";"Cuijk                                             ";"Cuijk                                             "
"Culemborg";"GM0216    ";"Culemborg                                         ";"Culemborg                                         "
"Dalfsen";"GM0148    ";"Dalfsen                                           ";"Dalfsen                                           "
"Dantumadiel";"GM1891    ";"Dantumadiel                                       ";"Dantumadiel                                       "
