"Geslacht;""Leeftijd"";""Burgerlijke staat"";""Perioden"";""Regio's"";""Bevolking op 1 januari (aantal)"""
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2011"";""Oost-Groningen (CR)"";151530"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2012"";""Oost-Groningen (CR)"";150782"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2013"";""Oost-Groningen (CR)"";149838"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2014"";""Oost-Groningen (CR)"";148944"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2015"";""Oost-Groningen (CR)"";148966"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2016"";""Oost-Groningen (CR)"";148583"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2017"";""Oost-Groningen (CR)"";147393"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2018"";""Oost-Groningen (CR)"";134770"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2019"";""Oost-Groningen (CR)"";134822"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2020"";""Oost-Groningen (CR)"";135208"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2011"";""Delfzijl en omgeving (CR)"";49135"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2012"";""Delfzijl en omgeving (CR)"";48724"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2013"";""Delfzijl en omgeving (CR)"";48370"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2014"";""Delfzijl en omgeving (CR)"";47958"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2015"";""Delfzijl en omgeving (CR)"";47560"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2016"";""Delfzijl en omgeving (CR)"";47111"
