"ID;""Geslacht"";""Leeftijd"";""BurgerlijkeStaat"";""RegioS"";""Perioden"";""BevolkingOp1Januari_1"""
"567;""T001038"";""10000"";""T001019"";""CR01  "";""2011JJ00"";""  151530"""
"568;""T001038"";""10000"";""T001019"";""CR01  "";""2012JJ00"";""  150782"""
"569;""T001038"";""10000"";""T001019"";""CR01  "";""2013JJ00"";""  149838"""
"570;""T001038"";""10000"";""T001019"";""CR01  "";""2014JJ00"";""  148944"""
"571;""T001038"";""10000"";""T001019"";""CR01  "";""2015JJ00"";""  148966"""
"572;""T001038"";""10000"";""T001019"";""CR01  "";""2016JJ00"";""  148583"""
"573;""T001038"";""10000"";""T001019"";""CR01  "";""2017JJ00"";""  147393"""
"574;""T001038"";""10000"";""T001019"";""CR01  "";""2018JJ00"";""  134770"""
"575;""T001038"";""10000"";""T001019"";""CR01  "";""2019JJ00"";""  134822"""
"599;""T001038"";""10000"";""T001019"";""CR02  "";""2011JJ00"";""   49135"""
"600;""T001038"";""10000"";""T001019"";""CR02  "";""2012JJ00"";""   48724"""
"601;""T001038"";""10000"";""T001019"";""CR02  "";""2013JJ00"";""   48370"""
"602;""T001038"";""10000"";""T001019"";""CR02  "";""2014JJ00"";""   47958"""
"603;""T001038"";""10000"";""T001019"";""CR02  "";""2015JJ00"";""   47560"""
"604;""T001038"";""10000"";""T001019"";""CR02  "";""2016JJ00"";""   47111"""
"605;""T001038"";""10000"";""T001019"";""CR02  "";""2017JJ00"";""   46850"""
"606;""T001038"";""10000"";""T001019"";""CR02  "";""2018JJ00"";""   46396"""
"607;""T001038"";""10000"";""T001019"";""CR02  "";""2019JJ00"";""   46051"""
"631;""T001038"";""10000"";""T001019"";""CR03  "";""2011JJ00"";""  378371"""
"632;""T001038"";""10000"";""T001019"";""CR03  "";""2012JJ00"";""  381369"""
"633;""T001038"";""10000"";""T001019"";""CR03  "";""2013JJ00"";""  383497"""
"634;""T001038"";""10000"";""T001019"";""CR03  "";""2014JJ00"";""  385826"""
"635;""T001038"";""10000"";""T001019"";""CR03  "";""2015JJ00"";""  387416"""
"636;""T001038"";""10000"";""T001019"";""CR03  "";""2016JJ00"";""  388027"""
"637;""T001038"";""10000"";""T001019"";""CR03  "";""2017JJ00"";""  389338"""
"638;""T001038"";""10000"";""T001019"";""CR03  "";""2018JJ00"";""  401778"""
"639;""T001038"";""10000"";""T001019"";""CR03  "";""2019JJ00"";""  403117"""
"663;""T001038"";""10000"";""T001019"";""CR04  "";""2011JJ00"";""  332884"""
"664;""T001038"";""10000"";""T001019"";""CR04  "";""2012JJ00"";""  332742"""
"665;""T001038"";""10000"";""T001019"";""CR04  "";""2013JJ00"";""  332938"""
"666;""T001038"";""10000"";""T001019"";""CR04  "";""2014JJ00"";""  324368"""
"667;""T001038"";""10000"";""T001019"";""CR04  "";""2015JJ00"";""  324103"""
"668;""T001038"";""10000"";""T001019"";""CR04  "";""2016JJ00"";""  324077"""
"669;""T001038"";""10000"";""T001019"";""CR04  "";""2017JJ00"";""  324367"""
"670;""T001038"";""10000"";""T001019"";""CR04  "";""2018JJ00"";""  318919"""
"671;""T001038"";""10000"";""T001019"";""CR04  "";""2019JJ00"";""  319277"""
"695;""T001038"";""10000"";""T001019"";""CR05  "";""2011JJ00"";""  106291"""
"696;""T001038"";""10000"";""T001019"";""CR05  "";""2012JJ00"";""  106392"""
"697;""T001038"";""10000"";""T001019"";""CR05  "";""2013JJ00"";""  106401"""
"698;""T001038"";""10000"";""T001019"";""CR05  "";""2014JJ00"";""  135594"""
