"ID;""StatusVanBewoning"";""RegioS"";""Perioden"";""TotaleWoningvoorraad_1"";""Koopwoningen_2"";""TotaalHuurwoningen_3"";""EigendomWoningcorporatie_4"";""EigendomOverigeVerhuurders_5"";""EigendomOnbekend_6"""
"136;""T001235"";""CR01  "";""2012JJ00"";""   68173"";""   43798"";""   23830"";""   18383"";""    5447"";""     545"""
"137;""T001235"";""CR01  "";""2013JJ00"";""   68205"";""   43860"";""   24013"";""   18383"";""    5630"";""     332"""
"138;""T001235"";""CR01  "";""2014JJ00"";""   68883"";""   43690"";""   24441"";""   18465"";""    5976"";""     752"""
"139;""T001235"";""CR01  "";""2015JJ00"";""   69232"";""   43691"";""   24714"";""   18714"";""    6000"";""     827"""
"140;""T001235"";""CR01  "";""2016JJ00"";""   69426"";""   43543"";""   24951"";""   18535"";""    6416"";""     932"""
"141;""T001235"";""CR01  "";""2017JJ00"";""   69570"";""   43424"";""   25080"";""   18455"";""    6625"";""    1066"""
"142;""T001235"";""CR01  "";""2018JJ00"";""   64154"";""   40320"";""   22797"";""   16903"";""    5894"";""    1037"""
"144;""T001235"";""CR02  "";""2012JJ00"";""   22192"";""   13309"";""    8802"";""    7068"";""    1734"";""      81"""
"145;""T001235"";""CR02  "";""2013JJ00"";""   22320"";""   13337"";""    8905"";""    7162"";""    1743"";""      78"""
"146;""T001235"";""CR02  "";""2014JJ00"";""   22690"";""   13305"";""    9353"";""    7420"";""    1933"";""      32"""
"147;""T001235"";""CR02  "";""2015JJ00"";""   22739"";""   13270"";""    9432"";""    7442"";""    1990"";""      37"""
"148;""T001235"";""CR02  "";""2016JJ00"";""   22802"";""   13498"";""    9102"";""    7384"";""    1718"";""     202"""
"149;""T001235"";""CR02  "";""2017JJ00"";""   22763"";""   13442"";""    9119"";""    7325"";""    1794"";""     202"""
"150;""T001235"";""CR02  "";""2018JJ00"";""   22853"";""   13437"";""    9283"";""    7338"";""    1945"";""     133"""
"152;""T001235"";""CR03  "";""2012JJ00"";""  174967"";""   91132"";""   81027"";""   55278"";""   25749"";""    2808"""
"153;""T001235"";""CR03  "";""2013JJ00"";""  176941"";""   91459"";""   83438"";""   56117"";""   27321"";""    2044"""
"154;""T001235"";""CR03  "";""2014JJ00"";""  179514"";""   91763"";""   85859"";""   56518"";""   29341"";""    1892"""
"155;""T001235"";""CR03  "";""2015JJ00"";""  180803"";""   91988"";""   87592"";""   59390"";""   28202"";""    1223"""
"156;""T001235"";""CR03  "";""2016JJ00"";""  182491"";""   92507"";""   88665"";""   58967"";""   29698"";""    1319"""
"157;""T001235"";""CR03  "";""2017JJ00"";""  184395"";""   93174"";""   90048"";""   58638"";""   31410"";""    1173"""
"158;""T001235"";""CR03  "";""2018JJ00"";""  190106"";""   98218"";""   90288"";""   58432"";""   31856"";""    1600"""
"160;""T001235"";""CR04  "";""2012JJ00"";""  148548"";""   90461"";""   56881"";""   42074"";""   14807"";""    1206"""
"161;""T001235"";""CR04  "";""2013JJ00"";""  149433"";""   90829"";""   57793"";""   42179"";""   15614"";""     811"""
"162;""T001235"";""CR04  "";""2014JJ00"";""  147779"";""   88671"";""   57634"";""   41023"";""   16611"";""    1474"""
"163;""T001235"";""CR04  "";""2015JJ00"";""  148836"";""   88769"";""   58423"";""   41446"";""   16977"";""    1644"""
"164;""T001235"";""CR04  "";""2016JJ00"";""  149548"";""   88937"";""   58811"";""   40632"";""   18179"";""    1800"""
"165;""T001235"";""CR04  "";""2017JJ00"";""  150168"";""   89178"";""   59211"";""   40579"";""   18632"";""    1779"""
"166;""T001235"";""CR04  "";""2018JJ00"";""  149067"";""   88509"";""   58711"";""   40482"";""   18229"";""    1847"""
"168;""T001235"";""CR05  "";""2012JJ00"";""   47812"";""   30687"";""   16828"";""   13135"";""    3693"";""     297"""
"169;""T001235"";""CR05  "";""2013JJ00"";""   48780"";""   31318"";""   17176"";""   13269"";""    3907"";""     286"""
"170;""T001235"";""CR05  "";""2014JJ00"";""   61139"";""   39490"";""   21208"";""   16252"";""    4956"";""     441"""
"171;""T001235"";""CR05  "";""2015JJ00"";""   61663"";""   39689"";""   21097"";""   16266"";""    4831"";""     877"""
"172;""T001235"";""CR05  "";""2016JJ00"";""   61831"";""   39789"";""   21119"";""   16149"";""    4970"";""     923"""
"173;""T001235"";""CR05  "";""2017JJ00"";""   62004"";""   39997"";""   21055"";""   15927"";""    5128"";""     952"""
"174;""T001235"";""CR05  "";""2018JJ00"";""   64682"";""   42497"";""   21215"";""   16309"";""    4906"";""     970"""
"176;""T001235"";""CR06  "";""2012JJ00"";""   90980"";""   56808"";""   33514"";""   26780"";""    6734"";""     658"""
