"Status van bewoning;""Regio's"";""Perioden"";""Totale woningvoorraad (aantal)"";""Koopwoningen (aantal)"";""Huurwoningen/Totaal huurwoningen (aantal)"";""Huurwoningen/Eigendom woningcorporatie (aantal)"";""Huurwoningen/Eigendom overige verhuurders (aantal)"";""Eigendom onbekend (aantal)"""
"Totaal;""Oost-Groningen (CR)"";""2012"";68173;43798;23830;18383;5447;545"
"Totaal;""Oost-Groningen (CR)"";""2013"";68205;43860;24013;18383;5630;332"
"Totaal;""Oost-Groningen (CR)"";""2014"";68883;43690;24441;18465;5976;752"
"Totaal;""Oost-Groningen (CR)"";""2015"";69232;43691;24714;18714;6000;827"
"Totaal;""Oost-Groningen (CR)"";""2016"";69426;43543;24951;18535;6416;932"
"Totaal;""Oost-Groningen (CR)"";""2017"";69570;43424;25080;18455;6625;1066"
"Totaal;""Oost-Groningen (CR)"";""2018"";64154;40320;22797;16903;5894;1037"
"Totaal;""Oost-Groningen (CR)"";""2019"";64267;40975;22732;17224;5508;560"
"Totaal;""Oost-Groningen (CR)"";""2020"";64431;40937;22905;17213;5692;589"
"Totaal;""Delfzijl en omgeving (CR)"";""2012"";22192;13309;8802;7068;1734;81"
"Totaal;""Delfzijl en omgeving (CR)"";""2013"";22320;13337;8905;7162;1743;78"
"Totaal;""Delfzijl en omgeving (CR)"";""2014"";22690;13305;9353;7420;1933;32"
"Totaal;""Delfzijl en omgeving (CR)"";""2015"";22739;13270;9432;7442;1990;37"
"Totaal;""Delfzijl en omgeving (CR)"";""2016"";22802;13498;9102;7384;1718;202"
"Totaal;""Delfzijl en omgeving (CR)"";""2017"";22763;13442;9119;7325;1794;202"
"Totaal;""Delfzijl en omgeving (CR)"";""2018"";22853;13437;9283;7338;1945;133"
"Totaal;""Delfzijl en omgeving (CR)"";""2019"";22912;13467;9404;7375;2029;41"
"Totaal;""Delfzijl en omgeving (CR)"";""2020"";22952;13415;9513;7374;2139;24"
"Totaal;""Overig Groningen (CR)"";""2012"";174967;91132;81027;55278;25749;2808"
"Totaal;""Overig Groningen (CR)"";""2013"";176941;91459;83438;56117;27321;2044"
