Regio,year,total_houses,total_own,total_rent,total_social_rent,total_other,total_unknown
Oost-Groningen (CR),2012,68173,43798,23830,18383,5447,545
Oost-Groningen (CR),2013,68205,43860,24013,18383,5630,332
Oost-Groningen (CR),2014,68883,43690,24441,18465,5976,752
Oost-Groningen (CR),2015,69232,43691,24714,18714,6000,827
Oost-Groningen (CR),2016,69426,43543,24951,18535,6416,932
Oost-Groningen (CR),2017,69570,43424,25080,18455,6625,1066
Oost-Groningen (CR),2018,64154,40320,22797,16903,5894,1037
Oost-Groningen (CR),2019,64267,40975,22732,17224,5508,560
Delfzijl en omgeving (CR),2012,22192,13309,8802,7068,1734,81
Delfzijl en omgeving (CR),2013,22320,13337,8905,7162,1743,78
Delfzijl en omgeving (CR),2014,22690,13305,9353,7420,1933,32
Delfzijl en omgeving (CR),2015,22739,13270,9432,7442,1990,37
Delfzijl en omgeving (CR),2016,22802,13498,9102,7384,1718,202
Delfzijl en omgeving (CR),2017,22763,13442,9119,7325,1794,202
Delfzijl en omgeving (CR),2018,22853,13437,9283,7338,1945,133
Delfzijl en omgeving (CR),2019,22912,13467,9404,7375,2029,41
Overig Groningen (CR),2012,174967,91132,81027,55278,25749,2808
Overig Groningen (CR),2013,176941,91459,83438,56117,27321,2044
Overig Groningen (CR),2014,179514,91763,85859,56518,29341,1892
Overig Groningen (CR),2015,180803,91988,87592,59390,28202,1223
Overig Groningen (CR),2016,182491,92507,88665,58967,29698,1319
Overig Groningen (CR),2017,184395,93174,90048,58638,31410,1173
Overig Groningen (CR),2018,190106,98218,90288,58432,31856,1600
Overig Groningen (CR),2019,192483,99842,92018,59007,33011,623
Noord-Friesland (CR),2012,148548,90461,56881,42074,14807,1206
Noord-Friesland (CR),2013,149433,90829,57793,42179,15614,811
Noord-Friesland (CR),2014,147779,88671,57634,41023,16611,1474
Noord-Friesland (CR),2015,148836,88769,58423,41446,16977,1644
Noord-Friesland (CR),2016,149548,88937,58811,40632,18179,1800
Noord-Friesland (CR),2017,150168,89178,59211,40579,18632,1779
Noord-Friesland (CR),2018,149067,88509,58711,40482,18229,1847
Noord-Friesland (CR),2019,149997,90286,59146,41272,17874,565
Zuidwest-Friesland (CR),2012,47812,30687,16828,13135,3693,297
Zuidwest-Friesland (CR),2013,48780,31318,17176,13269,3907,286
Zuidwest-Friesland (CR),2014,61139,39490,21208,16252,4956,441
Zuidwest-Friesland (CR),2015,61663,39689,21097,16266,4831,877
Zuidwest-Friesland (CR),2016,61831,39789,21119,16149,4970,923
Zuidwest-Friesland (CR),2017,62004,39997,21055,15927,5128,952
Zuidwest-Friesland (CR),2018,64682,42497,21215,16309,4906,970
Zuidwest-Friesland (CR),2019,65124,43327,21582,16756,4826,215
Zuidoost-Friesland (CR),2012,90980,56808,33514,26780,6734,658
Zuidoost-Friesland (CR),2013,91167,57215,33581,26669,6912,371
Zuidoost-Friesland (CR),2014,83262,51109,31255,24642,6613,898
Zuidoost-Friesland (CR),2015,83670,51316,31418,24736,6682,936
Zuidoost-Friesland (CR),2016,84161,51506,31454,24377,7077,1201
