"Geslacht;""Leeftijd"";""Nationaliteit"";""Perioden"";""Regio's"";""Bevolking (aantal)"""
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Oost-Groningen (CR)"";150782"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Oost-Groningen (CR)"";149838"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Oost-Groningen (CR)"";148944"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Oost-Groningen (CR)"";148966"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Oost-Groningen (CR)"";148583"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Oost-Groningen (CR)"";147393"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Oost-Groningen (CR)"";134770"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Oost-Groningen (CR)"";134822"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Oost-Groningen (CR)"";135208"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Delfzijl en omgeving (CR)"";48724"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Delfzijl en omgeving (CR)"";48370"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Delfzijl en omgeving (CR)"";47958"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Delfzijl en omgeving (CR)"";47560"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Delfzijl en omgeving (CR)"";47111"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Delfzijl en omgeving (CR)"";46850"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Delfzijl en omgeving (CR)"";46396"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Delfzijl en omgeving (CR)"";46051"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Delfzijl en omgeving (CR)"";45857"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Overig Groningen (CR)"";381369"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Overig Groningen (CR)"";383497"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Overig Groningen (CR)"";385826"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Overig Groningen (CR)"";387416"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Overig Groningen (CR)"";388027"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Overig Groningen (CR)"";389338"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Overig Groningen (CR)"";401778"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Overig Groningen (CR)"";403117"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Overig Groningen (CR)"";404801"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Noord-Friesland (CR)"";332742"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Noord-Friesland (CR)"";332938"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Noord-Friesland (CR)"";324368"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Noord-Friesland (CR)"";324103"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Noord-Friesland (CR)"";324077"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Noord-Friesland (CR)"";324367"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Noord-Friesland (CR)"";318919"
