"ID;""RegioVanVestiging"";""RegioVanVertrek"";""Perioden"";""TussenGemeentenVerhuisdePersonen_1"""
"66504;""CR01  "";""CR01  "";""2011JJ00"";""    2058"""
"66505;""CR01  "";""CR01  "";""2012JJ00"";""    2084"""
"66506;""CR01  "";""CR01  "";""2013JJ00"";""    2034"""
"66507;""CR01  "";""CR01  "";""2014JJ00"";""    2180"""
"66508;""CR01  "";""CR01  "";""2015JJ00"";""    2499"""
"66509;""CR01  "";""CR01  "";""2016JJ00"";""    2612"""
"66510;""CR01  "";""CR01  "";""2017JJ00"";""    2731"""
"66511;""CR01  "";""CR01  "";""2018JJ00"";""    1945"""
"66512;""CR01  "";""CR02  "";""2011JJ00"";""     186"""
"66513;""CR01  "";""CR02  "";""2012JJ00"";""     188"""
"66514;""CR01  "";""CR02  "";""2013JJ00"";""     202"""
"66515;""CR01  "";""CR02  "";""2014JJ00"";""     225"""
"66516;""CR01  "";""CR02  "";""2015JJ00"";""     255"""
"66517;""CR01  "";""CR02  "";""2016JJ00"";""     263"""
"66518;""CR01  "";""CR02  "";""2017JJ00"";""     243"""
"66519;""CR01  "";""CR02  "";""2018JJ00"";""     256"""
"66520;""CR01  "";""CR03  "";""2011JJ00"";""     988"""
"66521;""CR01  "";""CR03  "";""2012JJ00"";""    1154"""
"66522;""CR01  "";""CR03  "";""2013JJ00"";""    1039"""
"66523;""CR01  "";""CR03  "";""2014JJ00"";""    1124"""
"66524;""CR01  "";""CR03  "";""2015JJ00"";""    1176"""
"66525;""CR01  "";""CR03  "";""2016JJ00"";""    1364"""
"66526;""CR01  "";""CR03  "";""2017JJ00"";""    1367"""
"66527;""CR01  "";""CR03  "";""2018JJ00"";""    1393"""
"66528;""CR01  "";""CR04  "";""2011JJ00"";""     138"""
"66529;""CR01  "";""CR04  "";""2012JJ00"";""     161"""
"66530;""CR01  "";""CR04  "";""2013JJ00"";""     151"""
"66531;""CR01  "";""CR04  "";""2014JJ00"";""      90"""
"66532;""CR01  "";""CR04  "";""2015JJ00"";""     121"""
