"Perioden;""Regio van vestiging"";""Regio van vertrek"";""Tussen gemeenten verhuisde personen (aantal)"""
"2011;""Oost-Groningen (CR)"";""Oost-Groningen (CR)"";2058"
"2012;""Oost-Groningen (CR)"";""Oost-Groningen (CR)"";2084"
"2013;""Oost-Groningen (CR)"";""Oost-Groningen (CR)"";2034"
"2014;""Oost-Groningen (CR)"";""Oost-Groningen (CR)"";2180"
"2015;""Oost-Groningen (CR)"";""Oost-Groningen (CR)"";2499"
"2016;""Oost-Groningen (CR)"";""Oost-Groningen (CR)"";2612"
"2017;""Oost-Groningen (CR)"";""Oost-Groningen (CR)"";2731"
"2018;""Oost-Groningen (CR)"";""Oost-Groningen (CR)"";1945"
"2019;""Oost-Groningen (CR)"";""Oost-Groningen (CR)"";2147"
"2020;""Oost-Groningen (CR)"";""Oost-Groningen (CR)"";2136"
"2011;""Oost-Groningen (CR)"";""Delfzijl en omgeving (CR)"";186"
"2012;""Oost-Groningen (CR)"";""Delfzijl en omgeving (CR)"";188"
"2013;""Oost-Groningen (CR)"";""Delfzijl en omgeving (CR)"";202"
"2014;""Oost-Groningen (CR)"";""Delfzijl en omgeving (CR)"";225"
"2015;""Oost-Groningen (CR)"";""Delfzijl en omgeving (CR)"";255"
"2016;""Oost-Groningen (CR)"";""Delfzijl en omgeving (CR)"";263"
"2017;""Oost-Groningen (CR)"";""Delfzijl en omgeving (CR)"";243"
"2018;""Oost-Groningen (CR)"";""Delfzijl en omgeving (CR)"";256"
"2019;""Oost-Groningen (CR)"";""Delfzijl en omgeving (CR)"";239"
"2020;""Oost-Groningen (CR)"";""Delfzijl en omgeving (CR)"";243"
"2011;""Oost-Groningen (CR)"";""Overig Groningen (CR)"";988"
"2012;""Oost-Groningen (CR)"";""Overig Groningen (CR)"";1154"
"2013;""Oost-Groningen (CR)"";""Overig Groningen (CR)"";1039"
"2014;""Oost-Groningen (CR)"";""Overig Groningen (CR)"";1124"
"2015;""Oost-Groningen (CR)"";""Overig Groningen (CR)"";1176"
"2016;""Oost-Groningen (CR)"";""Overig Groningen (CR)"";1364"
"2017;""Oost-Groningen (CR)"";""Overig Groningen (CR)"";1367"
"2018;""Oost-Groningen (CR)"";""Overig Groningen (CR)"";1393"
"2019;""Oost-Groningen (CR)"";""Overig Groningen (CR)"";1461"
"2020;""Oost-Groningen (CR)"";""Overig Groningen (CR)"";1358"
"2011;""Oost-Groningen (CR)"";""Noord-Friesland (CR)"";138"
"2012;""Oost-Groningen (CR)"";""Noord-Friesland (CR)"";161"
"2013;""Oost-Groningen (CR)"";""Noord-Friesland (CR)"";151"
"2014;""Oost-Groningen (CR)"";""Noord-Friesland (CR)"";90"
"2015;""Oost-Groningen (CR)"";""Noord-Friesland (CR)"";121"
"2016;""Oost-Groningen (CR)"";""Noord-Friesland (CR)"";136"
"2017;""Oost-Groningen (CR)"";""Noord-Friesland (CR)"";175"
"2018;""Oost-Groningen (CR)"";""Noord-Friesland (CR)"";118"
"2019;""Oost-Groningen (CR)"";""Noord-Friesland (CR)"";110"
"2020;""Oost-Groningen (CR)"";""Noord-Friesland (CR)"";122"
"2011;""Oost-Groningen (CR)"";""Zuidwest-Friesland (CR)"";31"
"2012;""Oost-Groningen (CR)"";""Zuidwest-Friesland (CR)"";18"
"2013;""Oost-Groningen (CR)"";""Zuidwest-Friesland (CR)"";22"
"2014;""Oost-Groningen (CR)"";""Zuidwest-Friesland (CR)"";20"
"2015;""Oost-Groningen (CR)"";""Zuidwest-Friesland (CR)"";25"
"2016;""Oost-Groningen (CR)"";""Zuidwest-Friesland (CR)"";39"
"2017;""Oost-Groningen (CR)"";""Zuidwest-Friesland (CR)"";60"
"2018;""Oost-Groningen (CR)"";""Zuidwest-Friesland (CR)"";28"
"2019;""Oost-Groningen (CR)"";""Zuidwest-Friesland (CR)"";51"
"2020;""Oost-Groningen (CR)"";""Zuidwest-Friesland (CR)"";68"
"2011;""Oost-Groningen (CR)"";""Zuidoost-Friesland (CR)"";65"
"2012;""Oost-Groningen (CR)"";""Zuidoost-Friesland (CR)"";79"
"2013;""Oost-Groningen (CR)"";""Zuidoost-Friesland (CR)"";64"
"2014;""Oost-Groningen (CR)"";""Zuidoost-Friesland (CR)"";46"
"2015;""Oost-Groningen (CR)"";""Zuidoost-Friesland (CR)"";47"
"2016;""Oost-Groningen (CR)"";""Zuidoost-Friesland (CR)"";63"
"2017;""Oost-Groningen (CR)"";""Zuidoost-Friesland (CR)"";54"
"2018;""Oost-Groningen (CR)"";""Zuidoost-Friesland (CR)"";83"
"2019;""Oost-Groningen (CR)"";""Zuidoost-Friesland (CR)"";74"
"2020;""Oost-Groningen (CR)"";""Zuidoost-Friesland (CR)"";92"
