"Gebieden in Nederland 2015"
""
"";"Onderwerp"
"";"||Code";"Naam";"Sortering naam";"|||Code";"||Omschrijving";"|||Code";"||Omschrijving"
"Regio's";"code";"naam";"naam";"code";"omschrijving";"code";"omschrijving"
"Aa en Hunze";"GM1680";"AaenHunze";"AaenHunze";"4";"20000tot50000inwoners";"5";"Nietstedelijk"
"Aalburg";"GM0738";"Aalburg";"Aalburg";"3";"10000tot20000inwoners";"5";"Nietstedelijk"
"Aalsmeer";"GM0358";"Aalsmeer";"Aalsmeer";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Aalten";"GM0197";"Aalten";"Aalten";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Achtkarspelen";"GM0059";"Achtkarspelen";"Achtkarspelen";"4";"20000tot50000inwoners";"5";"Nietstedelijk"
"Alblasserdam";"GM0482";"Alblasserdam";"Alblasserdam";"3";"10000tot20000inwoners";"3";"Matigstedelijk"
"Albrandswaard";"GM0613";"Albrandswaard";"Albrandswaard";"4";"20000tot50000inwoners";"3";"Matigstedelijk"
"Alkmaar";"GM0361";"Alkmaar";"Alkmaar";"6";"100000tot150000inwoners";"2";"Sterkstedelijk"
"Almelo";"GM0141";"Almelo";"Almelo";"5";"50000tot100000inwoners";"2";"Sterkstedelijk"
"Almere";"GM0034";"Almere";"Almere";"7";"150000tot250000inwoners";"2";"Sterkstedelijk"
"Alphen aan den Rijn";"GM0484";"AlphenaandenRijn";"AlphenaandenRijn";"6";"100000tot150000inwoners";"2";"Sterkstedelijk"
"Alphen-Chaam";"GM1723";"Alphen-Chaam";"Alphen+Chaam";"2";"5000tot10000inwoners";"5";"Nietstedelijk"
"Ameland";"GM0060";"Ameland";"Ameland";"1";"minderdan5000inwoners";"5";"Nietstedelijk"
"Amersfoort";"GM0307";"Amersfoort";"Amersfoort";"7";"150000tot250000inwoners";"2";"Sterkstedelijk"
"Amstelveen";"GM0362";"Amstelveen";"Amstelveen";"5";"50000tot100000inwoners";"1";"Zeersterkstedelijk"
"Amsterdam";"GM0363";"Amsterdam";"Amsterdam";"8";"250000inwonersofmeer";"1";"Zeersterkstedelijk"
"Apeldoorn";"GM0200";"Apeldoorn";"Apeldoorn";"7";"150000tot250000inwoners";"2";"Sterkstedelijk"
"Appingedam";"GM0003";"Appingedam";"Appingedam";"3";"10000tot20000inwoners";"3";"Matigstedelijk"
"Arnhem";"GM0202";"Arnhem";"Arnhem";"7";"150000tot250000inwoners";"2";"Sterkstedelijk"
"Assen";"GM0106";"Assen";"Assen";"5";"50000tot100000inwoners";"2";"Sterkstedelijk"
"Asten";"GM0743";"Asten";"Asten";"3";"10000tot20000inwoners";"4";"Weinigstedelijk"
"Baarle-Nassau";"GM0744";"Baarle-Nassau";"Baarle+Nassau";"2";"5000tot10000inwoners";"5";"Nietstedelijk"
"Baarn";"GM0308";"Baarn";"Baarn";"4";"20000tot50000inwoners";"2";"Sterkstedelijk"
"Barendrecht";"GM0489";"Barendrecht";"Barendrecht";"4";"20000tot50000inwoners";"2";"Sterkstedelijk"
"Barneveld";"GM0203";"Barneveld";"Barneveld";"5";"50000tot100000inwoners";"4";"Weinigstedelijk"
"Bedum";"GM0005";"Bedum";"Bedum";"3";"10000tot20000inwoners";"4";"Weinigstedelijk"
"Beek (L.)";"GM0888";"Beek";"Beek";"3";"10000tot20000inwoners";"4";"Weinigstedelijk"
"Beemster";"GM0370";"Beemster";"Beemster";"2";"5000tot10000inwoners";"4";"Weinigstedelijk"
"Beesel";"GM0889";"Beesel";"Beesel";"3";"10000tot20000inwoners";"4";"Weinigstedelijk"
"Bellingwedde";"GM0007";"Bellingwedde";"Bellingwedde";"2";"5000tot10000inwoners";"5";"Nietstedelijk"
"Bergeijk";"GM1724";"Bergeijk";"Bergeijk";"3";"10000tot20000inwoners";"5";"Nietstedelijk"
"Bergen (L.)";"GM0893";"Bergen(L.)";"Bergen(L.)";"3";"10000tot20000inwoners";"5";"Nietstedelijk"
"Bergen (NH.)";"GM0373";"Bergen(NH.)";"Bergen(NH.)";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Bergen op Zoom";"GM0748";"BergenopZoom";"BergenopZoom";"5";"50000tot100000inwoners";"2";"Sterkstedelijk"
"Berkelland";"GM1859";"Berkelland";"Berkelland";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Bernheze";"GM1721";"Bernheze";"Bernheze";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Best";"GM0753";"Best";"Best";"4";"20000tot50000inwoners";"3";"Matigstedelijk"
"Beuningen";"GM0209";"Beuningen";"Beuningen";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Beverwijk";"GM0375";"Beverwijk";"Beverwijk";"4";"20000tot50000inwoners";"1";"Zeersterkstedelijk"
"het Bildt";"GM0063";"hetBildt";"Bildthet";"3";"10000tot20000inwoners";"5";"Nietstedelijk"
"De Bilt";"GM0310";"DeBilt";"BiltDe";"4";"20000tot50000inwoners";"3";"Matigstedelijk"
"Binnenmaas";"GM0585";"Binnenmaas";"Binnenmaas";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Bladel";"GM1728";"Bladel";"Bladel";"3";"10000tot20000inwoners";"4";"Weinigstedelijk"
"Blaricum";"GM0376";"Blaricum";"Blaricum";"2";"5000tot10000inwoners";"4";"Weinigstedelijk"
"Bloemendaal";"GM0377";"Bloemendaal";"Bloemendaal";"4";"20000tot50000inwoners";"3";"Matigstedelijk"
"Bodegraven-Reeuwijk";"GM1901";"Bodegraven-Reeuwijk";"Bodegraven+Reeuwijk";"4";"20000tot50000inwoners";"3";"Matigstedelijk"
"Boekel";"GM0755";"Boekel";"Boekel";"3";"10000tot20000inwoners";"5";"Nietstedelijk"
"Ten Boer";"GM0009";"TenBoer";"BoerTen";"2";"5000tot10000inwoners";"5";"Nietstedelijk"
"Borger-Odoorn";"GM1681";"Borger-Odoorn";"Borger+Odoorn";"4";"20000tot50000inwoners";"5";"Nietstedelijk"
"Borne";"GM0147";"Borne";"Borne";"4";"20000tot50000inwoners";"3";"Matigstedelijk"
"Borsele";"GM0654";"Borsele";"Borsele";"4";"20000tot50000inwoners";"5";"Nietstedelijk"
"Boxmeer";"GM0756";"Boxmeer";"Boxmeer";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Boxtel";"GM0757";"Boxtel";"Boxtel";"4";"20000tot50000inwoners";"3";"Matigstedelijk"
"Breda";"GM0758";"Breda";"Breda";"7";"150000tot250000inwoners";"2";"Sterkstedelijk"
"Brielle";"GM0501";"Brielle";"Brielle";"3";"10000tot20000inwoners";"4";"Weinigstedelijk"
"Bronckhorst";"GM1876";"Bronckhorst";"Bronckhorst";"4";"20000tot50000inwoners";"5";"Nietstedelijk"
"Brummen";"GM0213";"Brummen";"Brummen";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Brunssum";"GM0899";"Brunssum";"Brunssum";"4";"20000tot50000inwoners";"2";"Sterkstedelijk"
"Bunnik";"GM0312";"Bunnik";"Bunnik";"3";"10000tot20000inwoners";"4";"Weinigstedelijk"
"Bunschoten";"GM0313";"Bunschoten";"Bunschoten";"4";"20000tot50000inwoners";"3";"Matigstedelijk"
"Buren";"GM0214";"Buren";"Buren";"4";"20000tot50000inwoners";"5";"Nietstedelijk"
"Bussum";"GM0381";"Bussum";"Bussum";"4";"20000tot50000inwoners";"2";"Sterkstedelijk"
"Capelle aan den IJssel";"GM0502";"CapelleaandenIJssel";"CapelleaandenIJssel";"5";"50000tot100000inwoners";"2";"Sterkstedelijk"
