"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/Jonger dan 5 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/5 tot 10 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/10 tot 15 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/15 tot 20 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/20 tot 25 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/25 tot 45 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/45 tot 65 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/65 tot 80 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/80 jaar of ouder (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Totaal met migratieachtergrond (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Westerse migratieachtergrond (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Totaal niet-westerse migratieachtergrond (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Marokko (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/(voormalige) Nederlandse Antillen, Aruba (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Suriname (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Turkije (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Overig niet-westerse migratieachtergrond (%)";"Bevolking/Particuliere huishoudens/Gemiddelde huishoudensgrootte (personen per 1 huishouden)";"Bouwen en wonen/Waarde onroerende zaken/Gemiddelde woningwaarde (1 000 euro)"
"1995";"Aa en Hunze";;;;;;;;;;;;;;;;;;;
"1996";"Aa en Hunze";;;;;;;;;;;;;;;;;;;
"1997";"Aa en Hunze";;;;;;;;;;;;;;;;;;;
"1998";"Aa en Hunze";5,7;6,2;5,6;5,3;4,4;28,8;27,7;12,5;3,7;5,6;3,9;1,7;0;0,2;0,2;0;1,2;2,48;79
"1999";"Aa en Hunze";5,8;6,2;5,7;5;4,1;28,6;28,3;12,6;3,7;5,5;4;1,5;0;0,2;0,2;0;1;2,45;80
"2000";"Aa en Hunze";5,9;6,2;5,8;5;3,8;28,1;28,8;12,6;3,8;5,7;3,9;1,7;0;0,2;0,2;0;1,3;2,44;80
"2001";"Aa en Hunze";5,9;6,2;5,9;5,2;3,8;27,5;29,2;12,3;3,9;6,5;4,3;2,1;0;0,2;0,2;0,1;1,6;2,43;139
"2002";"Aa en Hunze";6,1;6,2;6;5,3;3,8;27;29,4;12,1;4,1;7,1;4,6;2,5;0;0,1;0,2;0,1;1,9;2,43;140
"2003";"Aa en Hunze";5,9;5,9;6,3;5,3;3,7;26,1;30,1;12,5;4,1;5,9;4,1;1,8;0;0,1;0,3;0,1;1,3;2,41;140
"2004";"Aa en Hunze";5,8;5,9;6,3;5,4;3,6;25,3;30,8;12,7;4,2;5,1;3,8;1,3;0;0,1;0,3;0;0,8;2,4;141
"2005";"Aa en Hunze";5,6;6,2;6,3;5,2;3,5;24,7;31,2;13,1;4,3;5;3,8;1,3;0;0,1;0,3;0;0,8;2,4;212
"2006";"Aa en Hunze";5,6;6,2;6,4;5,3;3,3;24;31,7;13,2;4,3;5,1;3,8;1,3;0;0,1;0,3;0,1;0,8;2,39;212
"2007";"Aa en Hunze";5,2;6,3;6,3;5,5;3,3;23,4;32,4;13,4;4,3;5,1;3,8;1,3;0;0,1;0,3;0;0,8;2,37;239
"2008";"Aa en Hunze";5;6,3;6,1;5,8;3,3;22,6;32,8;13,5;4,5;5,2;3,9;1,3;0;0,1;0,3;0;0,8;2,36;253
"2009";"Aa en Hunze";4,8;6,2;6,2;5,9;3,3;22,1;33;13,9;4,6;5,7;4;1,8;0;0,1;0,4;0;1,2;2,34;261
"2010";"Aa en Hunze";4,6;6,1;6,5;5,8;3,2;21,1;33,6;14,4;4,7;5,8;4;1,8;0;0,1;0,3;0;1,2;2,34;263
"2011";"Aa en Hunze";4,5;5,9;6,3;5,8;3,5;20,6;34;14,7;4,7;6,1;4;2,1;0;0,1;0,3;0,5;1,2;2,29;261
"2012";"Aa en Hunze";4,3;5,6;6,5;5,7;3,6;19,9;33,9;15,7;4,9;6,2;4;2,1;0;0,1;0,3;0,5;1,2;2,28;254
"2013";"Aa en Hunze";4;5,5;6,5;5,8;3,8;19,1;33,9;16,6;4,9;5,7;4;1,7;0;0,1;0,3;0;1,2;2,26;240
"2014";"Aa en Hunze";3,8;5,2;6,5;5,8;3,7;18,6;33,9;17,4;5,2;5,8;4,1;1,7;0,1;0,1;0,3;0;1,2;2,28;224
"2015";"Aa en Hunze";3,7;5;6,2;6;3,7;17,9;33,9;18,2;5,4;5,8;4,1;1,7;0;0,1;0,3;0;1,2;2,27;217
"2016";"Aa en Hunze";3,7;4,8;6,1;6,1;3,7;17,5;33,8;18,7;5,6;5,9;4,2;1,7;0;0,1;0,3;0;1,3;2,26;217
"2017";"Aa en Hunze";3,7;4,6;5,8;6,3;3,8;17,3;33,5;19,2;5,7;6,3;4,2;2,1;0;0,1;0,3;0;1,6;2,25;227
"2018";"Aa en Hunze";3,7;4,5;5,7;6,3;3,8;17,3;33,1;19,8;5,8;6,5;4,2;2,3;0;0,1;0,2;0;1,9;2,24;229
"2019";"Aa en Hunze";3,6;4,6;5,4;6,2;4,1;17,1;32,9;20,1;5,9;6,7;4,2;2,5;0,1;0,1;0,3;0,1;2;2,23;246
"2020";"Aa en Hunze";3,7;4,6;5,3;6,1;4,2;17,2;32,4;20,3;6,2;6,7;4,2;2,5;0;0,2;0,2;0,1;2;2,23;261
"2021";"Aa en Hunze";3,7;4,5;5,2;5,9;4,3;17,6;31,7;20,7;6,4;6,6;4,2;2,4;0;0,1;0,2;0,1;2;2,23;
"1995";"Aalburg";8,2;7,7;7,6;6,9;7,8;29,6;20,4;8,9;2,8;;;;;;;;;3,01;
"1996";"Aalburg";8,3;7,7;7,4;7,2;7,2;29,9;20,4;9;2,9;2,8;2,2;0,6;0,1;0;0,3;0;0,2;2,97;
"1997";"Aalburg";8,2;7,8;7,5;7,1;6,7;30;21;8,8;2,8;3;2,2;0,8;0,1;0;0,3;0;0,4;2,97;105
"1998";"Aalburg";7,9;7,9;7,4;7,2;6,6;30,1;21,2;9,1;2,7;3;2,2;0,8;0,1;0;0,3;0;0,5;2,91;105
"1999";"Aalburg";8,2;7,9;7,5;7;6,2;30,1;21,3;8,9;2,7;3,1;2,2;0,9;0,1;0;0,3;0;0,5;2,92;105
"2000";"Aalburg";7,8;8,2;7,5;7,1;6,1;29,8;21,7;8,9;2,8;3;2,2;0,8;0,1;0;0,3;0;0,4;2,91;109
"2001";"Aalburg";7,8;8;7,6;7;6,2;29,7;22,1;8,7;2,9;3,2;2,3;0,8;0,1;0;0,2;0;0,4;2,91;157
"2002";"Aalburg";7,9;8;7,4;7,1;6;29,3;22,4;8,8;2,9;3,1;2,4;0,8;0,1;0;0,2;0;0,4;2,9;158
"2003";"Aalburg";7,9;7,8;7,6;7;6,3;28,9;22,7;9;2,8;3,3;2,5;0,9;0,1;0;0,2;0;0,5;2,9;159
"2004";"Aalburg";7,6;8,1;7,7;7;6,3;28,4;22,9;9,1;2,9;3,4;2,5;0,9;0,1;0;0,2;0,1;0,5;2,91;159
"2005";"Aalburg";7,4;7,8;8,1;6,9;6,1;28,3;23,2;9,2;3;3,4;2,5;0,9;0,1;0;0,2;0;0,6;2,88;249
"2006";"Aalburg";7,2;7,8;7,8;7,1;6;28,2;23,6;9,2;3,2;3,8;2,7;1,1;0,1;0;0,2;0;0,7;2,87;246
"2007";"Aalburg";6,7;7,8;7,8;7,1;6,4;27,7;24,1;9,2;3,2;3,6;2,6;1;0,1;0,1;0,2;0;0,6;2,84;262
"2008";"Aalburg";6,5;7,8;7,6;7,1;6,3;27,7;24,4;9,3;3,4;3,8;2,7;1,1;0,1;0,1;0,2;0;0,7;2,81;277
"2009";"Aalburg";6,4;7,6;7,8;7,1;6;27,2;25,1;9,4;3,4;4,1;2,9;1,1;0,1;0,1;0,2;0,1;0,7;2,78;293
"2010";"Aalburg";6,4;7,3;7,5;7,3;6;26,7;25,5;9,8;3,5;4,2;3;1,2;0,1;0,1;0,2;0,1;0,8;2,75;296
"2011";"Aalburg";6,4;7,1;7,6;7,2;6;26,2;26,1;9,8;3,6;4,5;3,2;1,3;0,1;0,1;0,1;0,1;0,9;2,76;277
"2012";"Aalburg";6,4;6,8;7,7;7,2;6;25,1;26,5;10,6;3,6;4,7;3,4;1,4;0,1;0,1;0,1;0,1;1;2,75;274
"2013";"Aalburg";6,5;6,5;7,7;6,9;6,1;24,6;26,8;11,2;3,8;4,7;3,4;1,3;0,1;0;0,1;0,1;0,9;2,72;266
"2014";"Aalburg";6,3;6,4;7,5;7,2;6;24,3;26,8;11,7;3,8;4,8;3,5;1,3;0,1;0;0,1;0,2;0,9;2,68;249
"2015";"Aalburg";6,3;6,4;7,4;6,9;6,2;23,9;26,9;12,2;3,8;5;3,6;1,4;0,1;0;0,1;0,2;1;2,66;241
"2016";"Aalburg";6,3;6,4;7,1;7,2;6,2;23,4;27,3;12,5;3,8;5,5;3,8;1,7;0,1;0;0,1;0,1;1,3;2,65;240
"2017";"Aalburg";6,1;6,5;6,8;7,2;6,3;23;27,4;13,1;3,7;5,8;3,8;2;0,1;0;0,1;0,1;1,6;2,63;244
"2018";"Aalburg";5,9;6,7;6,5;7,3;6,1;22,8;27,7;13,1;3,9;6;3,9;2,1;0,1;0,1;0,2;0,1;1,7;2,61;251
"2019";"Aalburg";;;;;;;;;;;;;;;;;;;
"2020";"Aalburg";;;;;;;;;;;;;;;;;;;
"2021";"Aalburg";;;;;;;;;;;;;;;;;;;
"1995";"Aalsmeer";6,3;5,6;5,3;5,9;7,7;29,8;26,7;9,7;3;;;;;;;;;2,54;
"1996";"Aalsmeer";6,3;5,8;5,1;5,9;7;30;26,9;10;3;9,7;6,8;3;0,9;0,1;0,4;0,1;1,5;2,51;
"1997";"Aalsmeer";6;6,1;5;5,6;6,6;30,5;26,8;10,1;3,1;10,2;7;3,2;0,9;0,1;0,5;0,1;1,7;2,46;103
"1998";"Aalsmeer";5,9;6,3;5,1;5,4;6,2;30,8;26,8;10,4;3;10,4;7;3,4;0,9;0,1;0,5;0,1;1,7;2,44;103
